iter	Passed	Remaining
646	2890	3149
647	2898	3148
648	2906	3147
649	2912	3145
650	2921	3145
651	2926	3142
652	2933	3139
653	2938	3135
654	2943	3131
655	2951	3131
656	2956	3127
657	2962	3125
658	2968	3121
659	2973	3117
660	2978	3113
661	2986	3112
662	2992	3109
663	2997	3105
664	3003	3103
665	3009	3100
666	3015	3097
667	3021	3093
668	3028	3091
669	3035	3089
670	3047	3092
671	3053	3089
672	3059	3086
673	3064	3083
674	3071	3080
675	3076	3076
676	3081	3072
677	3087	3068
678	3093	3066
679	3099	3063
680	3103	3058
681	3109	3054
682	3113	3049
683	3117	3044
684	3122	3040
685	3127	3036
686	3131	3031
687	3138	3028
688	3143	3024
689	3148	3020
690	3155	3018
691	3160	3014
692	3165	3009
693	3169	3005
694	3174	3000
695	3179	2996
696	3184	2992
697	3188	2987
698	3193	2982
699	3198	2979
700	3204	2975
701	3208	2971
702	3213	2966
703	3220	2964
704	3225	2959
705	3230	2955
706	3235	2951
707	3239	2946
708	3244	2942
709	3248	2937
710	3253	2933
711	3258	2929
712	3263	2925
713	3270	2922
714	3278	2920
715	3283	2916
716	3286	2911
717	3291	2906
718	3296	2902
719	3301	2897
720	3305	2892
721	3309	2888
722	3314	2883
723	3318	2878
724	3322	2873
725	3327	2868
726	3331	2864
727	3335	2859
728	3340	2854
729	3344	2849
730	3349	2845
731	3353	2840
732	3357	2835
733	3361	2830
734	3365	2825
735	3369	2820
736	3374	2815
737	3378	2811
738	3383	2806
739	3388	2802
740	3392	2797
741	3396	2792
742	3400	2787
743	3404	2782
744	3408	2777
745	3413	2772
746	3417	2767
747	3421	2762
748	3425	2757
749	3430	2753
750	3435	2749
751	3440	2744
752	3444	2740
753	3449	2735
754	3454	2731
755	3458	2726
756	3462	2721
757	3466	2716
758	3470	2711
759	3475	2706
760	3480	2702
761	3486	2699
762	3490	2694
763	3494	2689
764	3499	2685
765	3504	2680
766	3508	2675
767	3512	2671
768	3516	2666
769	3521	2661
770	3525	2656
771	3529	2651
772	3534	2647
773	3538	2642
774	3543	2637
775	3547	2633
776	3551	2628
777	3556	2623
778	3560	2619
779	3565	2614
780	3569	2609
781	3573	2605
782	3579	2600
783	3583	2596
784	3587	2590
785	3591	2586
786	3595	2581
787	3599	2576
788	3604	2572
789	3608	2566
790	3612	2562
791	3617	2557
792	3621	2552
793	3625	2547
794	3629	2543
795	3633	2538
796	3637	2533
797	3641	2528
798	3645	2523
799	3649	2518
800	3654	2513
801	3658	2508
802	3662	2504
803	3666	2499
804	3670	2494
805	3674	2489
806	3678	2484
807	3682	2479
808	3687	2474
809	3691	2469
810	3695	2465
811	3699	2460
812	3703	2455
813	3707	2450
814	3710	2445
815	3715	2440
816	3719	2435
817	3723	2430
818	3727	2425
819	3732	2421
820	3736	2416
821	3741	2412
822	3746	2408
823	3751	2404
824	3755	2399
825	3760	2394
826	3764	2389
827	3768	2384
828	3772	2379
829	3776	2375
830	3780	2370
831	3784	2365
832	3789	2360
833	3793	2356
834	3797	2351
835	3801	2346
836	3805	2341
837	3810	2336
838	3813	2331
839	3818	2327
840	3822	2322
841	3825	2317
842	3829	2312
843	3833	2307
844	3837	2302
845	3841	2297
846	3844	2292
847	3849	2287
848	3853	2283
849	3857	2278
850	3861	2273
851	3865	2268
852	3870	2264
853	3874	2259
854	3878	2254
855	3882	2249
856	3886	2244
857	3890	2239
858	3894	2235
859	3898	2230
860	3902	2225
861	3906	2220
862	3910	2215
863	3914	2210
864	3918	2206
865	3922	2201
866	3925	2196
867	3929	2191
868	3933	2186
869	3937	2181
870	3941	2176
871	3945	2171
872	3949	2167
873	3953	2162
874	3957	2157
875	3960	2152
876	3964	2147
877	3968	2142
878	3972	2137
879	3976	2132
880	3980	2127
881	3984	2123
882	3989	2118
883	3993	2114
884	3997	2109
885	4000	2104
886	4004	2099
887	4008	2094
888	4012	2089
889	4016	2084
890	4020	2080
891	4024	2075
892	4028	2070
893	4031	2065
894	4035	2060
895	4039	2055
896	4043	2051
897	4047	2046
898	4050	2041
899	4054	2036
900	4058	2031
901	4062	2026
902	4066	2021
903	4070	2017
904	4073	2012
905	4077	2007
906	4081	2002
907	4085	1997
908	4089	1992
909	4093	1988
910	4096	1983
911	4100	1978
912	4105	1974
913	4109	1969
914	4113	1964
915	4117	1959
916	4121	1955
917	4125	1950
918	4130	1945
919	4133	1941
920	4137	1936
921	4141	1931
922	4145	1926
923	4149	1921
924	4153	1917
925	4157	1912
926	4161	1907
927	4165	1903
928	4168	1898
929	4172	1893
930	4176	1888
931	4181	1884
932	4185	1879
933	4189	1875
934	4193	1870
935	4197	1865
936	4201	1860
937	4205	1856
938	4209	1851
939	4213	1846
940	4217	1841
941	4221	1837
942	4224	1832
943	4228	1827
944	4232	1823
945	4236	1818
946	4240	1813
947	4244	1808
948	4248	1804
949	4252	1799
950	4256	1794
951	4261	1790
952	4265	1785
953	4270	1781
954	4274	1776
955	4279	1772
956	4284	1768
957	4289	1764
958	4294	1759
959	4298	1755
960	4302	1750
961	4306	1745
962	4310	1741
963	4314	1736
964	4318	1732
965	4323	1727
966	4327	1723
967	4332	1718
968	4337	1714
969	4343	1710
970	4347	1705
971	4351	1701
972	4356	1697
973	4361	1692
974	4365	1687
975	4371	1684
976	4377	1680
977	4383	1676
978	4389	1672
979	4395	1668
980	4402	1664
981	4410	1661
982	4416	1657
983	4424	1654
984	4434	1652
985	4442	1649
986	4449	1645
987	4455	1641
988	4463	1638
989	4469	1634
990	4474	1630
991	4482	1626
992	4488	1622
993	4494	1618
994	4501	1615
995	4507	1611
996	4513	1607
997	4521	1603
998	4527	1599
999	4533	1595
1000	4539	1591
1001	4545	1587
1002	4552	1584
1003	4560	1580
1004	4566	1576
1005	4573	1573
1006	4581	1569
1007	4587	1565
1008	4595	1562
1009	4601	1558
1010	4606	1553
1011	4612	1549
1012	4617	1545
1013	4622	1540
1014	4628	1536
1015	4632	1532
1016	4638	1527
1017	4643	1523
1018	4649	1519
1019	4657	1515
1020	4666	1512
1021	4673	1509
1022	4679	1505
1023	4685	1500
1024	4691	1496
1025	4698	1492
1026	4705	1488
1027	4713	1485
1028	4720	1481
1029	4726	1477
1030	4732	1473
1031	4737	1468
1032	4743	1464
1033	4749	1460
1034	4756	1456
1035	4761	1452
1036	4768	1448
1037	4773	1443
1038	4780	1439
1039	4785	1435
1040	4791	1431
1041	4796	1426
1042	4802	1422
1043	4807	1418
1044	4813	1414
1045	4819	1409
1046	4827	1406
1047	4835	1402
1048	4840	1398
1049	4848	1394
1050	4854	1390
1051	4863	1386
1052	4868	1382
1053	4873	1378
1054	4879	1373
1055	4884	1369
1056	4889	1364
1057	4894	1360
1058	4899	1355
1059	4903	1350
1060	4909	1346
1061	4914	1342
1062	4919	1337
1063	4923	1332
1064	4928	1328
1065	4932	1323
1066	4937	1318
1067	4941	1313
1068	4944	1309
1069	4948	1304
1070	4952	1299
1071	4957	1294
1072	4961	1290
1073	4967	1285
1074	4971	1281
1075	4977	1276
